id;commit_hash;file;heuristic;refactoring_type;is_floss;project
106;9ee2808155657ebfa5f6dd27791d7350da0ecfeb;src/main/java/junit/runner/Version.java;true positive;none;not_floss;junit4
107;9ee2808155657ebfa5f6dd27791d7350da0ecfeb;src/main/java/org/junit/Assert.java;true positive;none;not_floss;junit4
108;9ee2808155657ebfa5f6dd27791d7350da0ecfeb;src/main/java/org/junit/matchers/JUnitMatchers.java;formatting conflict;none;not_floss;junit4
109;9ee2808155657ebfa5f6dd27791d7350da0ecfeb;src/main/java/org/junit/matchers/JUnitMatchers.java;true positive;none;not_floss;junit4
110;9ee2808155657ebfa5f6dd27791d7350da0ecfeb;src/main/java/org/junit/matchers/JUnitMatchers.java;formatting conflict;none;not_floss;junit4
111;7ca2c7d2e052b99526415113b8d5dcc513e7de07;src/main/java/junit/runner/Version.java;true positive;none;not_floss;junit4
112;956f86fa4c406a923d5366b5906e3431e9d0717d;src/test/java/org/junit/tests/ParentRunnerTest.java;true positive;none;not_floss;junit4
113;956f86fa4c406a923d5366b5906e3431e9d0717d;src/main/java/org/junit/runners/ParentRunner.java;true positive;none;not_floss;junit4
114;956f86fa4c406a923d5366b5906e3431e9d0717d;src/main/java/org/junit/runners/ParentRunner.java;true positive;none;not_floss;junit4
115;956f86fa4c406a923d5366b5906e3431e9d0717d;src/main/java/org/junit/experimental/ParallelComputer.java;true positive;none;not_floss;junit4
116;956f86fa4c406a923d5366b5906e3431e9d0717d;src/main/java/org/junit/experimental/ParallelComputer.java;true positive;none;not_floss;junit4
117;0a6893304bec85084f963dfd40c1a830685b61a9;src/main/java/org/junit/experimental/interceptor/TestWatchman.java;true positive;change method declaration;not_floss;junit4
118;4f9eee58782d30d873b3739095c8c2e01f59fc7a;src/main/java/org/junit/experimental/ParallelComputer.java;unhandled refactoring conflict;rename class;floss;junit4
119;4f9eee58782d30d873b3739095c8c2e01f59fc7a;src/main/java/org/junit/experimental/ParallelComputer.java;true positive;none;not_floss;junit4
