id;commit_hash;file;heuristic;refactoring_type;is_floss;project
41;c96f96dbd7af6c8ea8ed38e44a0499e9a6941103; src/test/resources/bdd/samples/JavaConcepts.java;unhandled refactoring conflict;rename class;not_floss;javaparser
42;02686a5216af96fadd661ae3d61fe5c4eda76bd3;javaparser-symbol-solver-testing/src/test/java/com/github/javaparser/symbolsolver/javaparsermodel/declarations/JavaParserEnumDeclarationTest.java;formatting conflict;none;not_floss;javaparser
43;5e362a840449a04cede08e30cc211b0495f16260;javaparser-core/src/main/java/com/github/javaparser/metamodel/PropertyMetaModel.java;formatting conflict;none;not_floss;javaparser
44;5e362a840449a04cede08e30cc211b0495f16260;javaparser-core/src/main/java/com/github/javaparser/ast/visitor/GenericVisitorAdapter.java;true positive;none;not_floss;javaparser
45;99594f739c8697741637ad95aeef8925953af44d;realm/src/main/java/io/realm/Realm.java;true positive;;;realm
46;0393fbf3112e9f78e6b0ed278dfc1e3b7ff5465a;realm/src/main/java/io/realm/Realm.java;formatting conflict;none;not_floss;realm
47;463742ab0ada407592d58af772e4e39e0b5b38c7;realm-annotations-processor/src/test/resources/io/realm/SimpleRealmProxy.java;true positive;none;not_floss;realm
48;26c34ba7f398e73a01baeaee27a64ff40260647c;realm/src/main/java/io/realm/Realm.java;true positive;none;not_floss;realm
49;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
50;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
51;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
52;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
53;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
54;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/RealmQuery.java;true positive;none;not_floss;realm
55;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/internal/TableQuery.java;unhandled refactoring conflict;change method declaration;not_floss;realm
56;03e7e6b28b7f1bba1b730519bb61996c89e3e7f1;realm/realm-library/src/main/java/io/realm/internal/TableQuery.java;unhandled refactoring conflict;change method declaration;not_floss;realm
57;dde9ab8c54a7970ed0c0b4e64c26d743302daa90;realm/realm-library/src/main/java/io/realm/internal/TableQuery.java;true positive;none;not_floss;realm
58;77818a7dc83e501849645701ef2751499ce4aed7;realm/realm-library/src/main/java/io/realm/rx/RealmObservableFactory.java;ordering conflict;none;not_floss;realm
59;e77f55c625d9545989309e1a1f82ee9f4d249c40;realm/realm-library/src/main/java/io/realm/RealmFieldType.java;ordering conflict;none;not_floss;realm
60;e77f55c625d9545989309e1a1f82ee9f4d249c40;realm/realm-library/src/main/java/io/realm/RealmFieldType.java;ordering conflict;none;not_floss;realm
61;b1954a04c72706c8d4cf5af945366d3226e88f61;tightdb-java-core/src/main/java/com/tightdb/typed/TableCursorColumn.java;true positive;none;not_floss;realm
62;565065c615e5142d3354ec3f81724967500cfbae;doc/ref/examples/src/com/tightdb/refdoc/DynQueryIntro.java;true positive;none;not_floss;realm
63;3e1310755be871ec120633637f17afe3a439f4bc;realm/realm-library/src/main/java/io/realm/internal/ObjectServerFacade.java;true positive;none;not_floss;realm
64;8c0778ed279e93806878e519e5e3d93caa370ced;/realm/realm-annotations-processor/src/test/resources/io/realm/DefaultRealmModuleMediator.java;true positive;none;not_floss;realm
65;8c0778ed279e93806878e519e5e3d93caa370ced;/realm/realm-annotations-processor/src/test/resources/io/realm/DefaultRealmModuleMediator.java;true positive;none;not_floss;realm
66;8c0778ed279e93806878e519e5e3d93caa370ced;realm/realm-annotations-processor/src/test/resources/io/realm/some_test_AllTypesRealmProxy.java;true positive;none;not_floss;realm
67;8c0778ed279e93806878e519e5e3d93caa370ced;realm/realm-annotations-processor/src/test/resources/io/realm/some_test_AllTypesRealmProxy.java;true positive;none;not_floss;realm
68;8c0778ed279e93806878e519e5e3d93caa370ced;realm/realm-annotations-processor/src/test/resources/io/realm/some_test_AllTypesRealmProxy.java;true positive;none;not_floss;realm
69;8c0778ed279e93806878e519e5e3d93caa370ced;realm/realm-annotations-processor/src/test/resources/io/realm/some_test_AllTypesRealmProxy.java;true positive;none;not_floss;realm
